problem,n,start_pt_ID,grad_norm,iters_over_max,success_flag,rate_conv_exp,time_s
Problem16_Trig,2,xbar,1.31993355898471e-07,5/1000,yes,1.67502367483647,0.0047957
Problem16_Trig,2,rand1,1.82951904622157e-13,8/1000,yes,1.41250521035115,0.0011614
Problem16_Trig,2,rand2,1.69288220853299e-07,5/1000,yes,1.66283291624399,0.0017467
Problem16_Trig,2,rand3,6.27031169119947e-07,7/1000,yes,1.44251973308129,0.0013924
Problem16_Trig,2,rand4,8.25411643864451e-11,6/1000,yes,1.68521334155884,0.0025203
Problem16_Trig,2,rand5,5.34256214215422e-08,6/1000,yes,1.51756234982766,0.0009465
Problem16_Trig,1000,xbar,1.79084293354519e-08,5/1000,yes,1.67113974118899,0.0029749
Problem16_Trig,1000,rand1,8.96681594537521e-08,10/1000,yes,1.33704659702068,0.0070745
Problem16_Trig,1000,rand2,2.75111945435293e-09,11/1000,yes,1.43892812072739,0.0136659
Problem16_Trig,1000,rand3,1.97443942918446e-12,9/1000,yes,1.53082216414513,0.0084274
Problem16_Trig,1000,rand4,3.10241141868309e-12,10/1000,yes,1.56339869466131,0.0099662
Problem16_Trig,1000,rand5,2.97193955208843e-07,9/1000,yes,1.33894743438112,0.0088111
Problem16_Trig,10000,xbar,1.79093573548508e-08,5/1000,yes,1.65238616507602,0.0426683
Problem16_Trig,10000,rand1,1.56252450950415e-08,11/1000,yes,1.39373497940146,0.0870609
Problem16_Trig,10000,rand2,5.75807203911284e-07,10/1000,yes,1.33178983825472,0.1191448
Problem16_Trig,10000,rand3,1.08849538197965e-11,11/1000,yes,1.54756983484518,0.1500269
Problem16_Trig,10000,rand4,3.61561835140758e-10,10/1000,yes,1.45759816796069,0.0977583
Problem16_Trig,10000,rand5,4.80213186962653e-08,11/1000,yes,1.33152331375344,0.1594075
