problem,method,n,start_pt_ID,grad_norm,iters_over_max,success_flag,rate_conv_exp,time_s
Problem31,modified,2,x_bar,1.11022302462516e-15,5/1000,yes,NaN,0.0045425
Problem31,modified,2,R1,5.63334900020815e-07,3/1000,yes,2.91410123166002,0.0008706
Problem31,modified,2,R2,5.55111512312578e-15,5/1000,yes,NaN,0.0011944
Problem31,modified,2,R3,1.87973138165987e-07,6/1000,yes,NaN,0.0010491
Problem31,modified,2,R4,5.40686967251342e-07,3/1000,yes,2.9144068241285,0.0014191
Problem31,modified,2,R5,1.07280850869529e-12,5/1000,yes,NaN,0.0004885
Problem31,modified,1000,x_bar,1.52989216198835e-13,8/1000,yes,2.84307883682737,0.0029196
Problem31,modified,1000,R1,4.81101279839558e-09,17/1000,yes,2.22861208629625,0.006646
Problem31,modified,1000,R2,6.69366965557057e-10,16/1000,yes,1.77994705116787,0.00557
Problem31,modified,1000,R3,2.38926001751042e-09,17/1000,yes,1.3388115106459,0.0056992
Problem31,modified,1000,R4,2.6041031826222e-09,15/1000,yes,1.63756007864019,0.0052937
Problem31,modified,1000,R5,4.81787273844054e-09,15/1000,yes,1.46690951600332,0.0054087
