gamma	rho	btmax	kmax	success	avg_time	avg_iters	loss	fail_reason
1.0e-06	0.30	10	2000	1	0.0261	8.65	0.1126	
1.0e-06	0.30	10	1000	1	0.0208	8.40	0.1048	
1.0e-06	0.30	10	500	1	0.0198	8.30	0.1028	
1.0e-06	0.30	20	2000	1	0.0205	8.40	0.1045	
1.0e-06	0.30	20	1000	1	0.0247	8.20	0.1067	
1.0e-06	0.30	20	500	1	0.0248	8.35	0.1083	
1.0e-06	0.30	29	2000	1	0.0197	8.45	0.1042	
1.0e-06	0.30	29	1000	1	0.0205	8.30	0.1035	
1.0e-06	0.30	29	500	1	0.0213	8.25	0.1038	
1.0e-06	0.50	18	2000	1	0.0216	8.40	0.1056	
1.0e-06	0.50	18	1000	1	0.0202	8.30	0.1032	
1.0e-06	0.50	18	500	1	0.0230	8.50	0.1080	
1.0e-06	0.50	35	2000	1	0.0221	8.25	0.1046	
1.0e-06	0.50	35	1000	1	0.0218	8.15	0.1033	
1.0e-06	0.50	35	500	1	0.0208	8.15	0.1023	
1.0e-06	0.50	52	2000	1	0.0225	8.45	0.1070	
1.0e-06	0.50	52	1000	1	0.0217	8.50	0.1067	
1.0e-06	0.50	52	500	1	0.0215	8.55	0.1070	
1.0e-06	0.80	54	2000	1	0.0211	8.20	0.1031	
1.0e-06	0.80	54	1000	1	0.0208	8.65	0.1073	
1.0e-06	0.80	54	500	1	0.0194	8.40	0.1034	
1.0e-06	0.80	108	2000	1	0.0195	8.25	0.1020	
1.0e-06	0.80	108	1000	1	0.0231	8.35	0.1066	
1.0e-06	0.80	108	500	1	0.0221	8.50	0.1071	
1.0e-06	0.80	161	2000	1	0.0225	8.55	0.1080	
1.0e-06	0.80	161	1000	1	0.0200	8.65	0.1065	
1.0e-06	0.80	161	500	1	0.0199	8.55	0.1054	
1.0e-05	0.30	1	2000	0	NaN	NaN	Inf	grad_norm_high at n=1000, start=3
1.0e-05	0.30	1	1000	0	NaN	NaN	Inf	grad_norm_high at n=1000, start=9
1.0e-05	0.30	1	500	0	NaN	NaN	Inf	grad_norm_high at n=1000, start=2
1.0e-05	0.30	10	2000	1	0.0184	8.25	0.1009	
1.0e-05	0.30	10	1000	1	0.0193	8.40	0.1033	
1.0e-05	0.30	10	500	1	0.0198	8.25	0.1023	
1.0e-05	0.30	20	2000	1	0.0193	8.25	0.1018	
1.0e-05	0.30	20	1000	1	0.0198	8.45	0.1043	
